2025 Federal Election House of Representatives Distribution of Preferences By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:02 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
NSW,103,Banks,0,3,41990,PEARCE,Phillip,AUD,Australian Democrats,N,N,Transfer Percent,0
NSW,103,Banks,0,4,41871,MOMIRCEVSKI,Marika,LTP,Libertarian,N,N,Preference Count,2678
NSW,103,Banks,0,4,41871,MOMIRCEVSKI,Marika,LTP,Libertarian,N,N,Preference Percent,2.71
NSW,103,Banks,0,4,41871,MOMIRCEVSKI,Marika,LTP,Libertarian,N,N,Transfer Count,0
NSW,103,Banks,0,4,41871,MOMIRCEVSKI,Marika,LTP,Libertarian,N,N,Transfer Percent,0
NSW,103,Banks,0,5,41486,HANNA,Natalie,GRN,The Greens,N,N,Preference Count,11756
NSW,103,Banks,0,5,41486,HANNA,Natalie,GRN,The Greens,N,N,Preference Percent,11.88
NSW,103,Banks,0,5,41486,HANNA,Natalie,GRN,The Greens,N,N,Transfer Count,0
NSW,103,Banks,0,5,41486,HANNA,Natalie,GRN,The Greens,N,N,Transfer Percent,0
NSW,103,Banks,0,6,41350,SOON,Zhi,ALP,Labor,Y,N,Preference Count,36039
NSW,103,Banks,0,6,41350,SOON,Zhi,ALP,Labor,Y,N,Preference Percent,36.43
NSW,103,Banks,0,6,41350,SOON,Zhi,ALP,Labor,Y,N,Transfer Count,0
NSW,103,Banks,0,6,41350,SOON,Zhi,ALP,Labor,Y,N,Transfer Percent,0
NSW,103,Banks,0,7,41411,COLEMAN,David,LP,Liberal,N,Y,Preference Count,38683
NSW,103,Banks,0,7,41411,COLEMAN,David,LP,Liberal,N,Y,Preference Percent,39.1
